time	V(vout)	V(vpre)
1.000050640856131e-005	-2.471815e-005	8.884646e-001
1.000050652906703e-005	-2.471815e-005	8.882477e-001
1.000050654412657e-005	-2.471815e-005	8.882205e-001
1.000050654436186e-005	-2.471815e-005	8.882201e-001
1.000050654459716e-005	-2.471815e-005	8.882197e-001
1.000050654483246e-005	-2.471815e-005	8.882193e-001
1.000050654486187e-005	-2.471815e-005	8.882192e-001
1.000050654486555e-005	-2.471815e-005	8.882192e-001
1.000050654486922e-005	-2.471815e-005	8.882192e-001
1.000050654487290e-005	-2.471815e-005	8.882192e-001
1.000050654487657e-005	-2.471815e-005	8.882192e-001
1.000050654488025e-005	-2.471815e-005	8.882192e-001
1.000050654488760e-005	-2.471815e-005	8.882192e-001
1.000050666536004e-005	-2.471814e-005	8.880023e-001
1.000050678580307e-005	-2.471813e-005	8.877856e-001
1.000050690621669e-005	-2.471812e-005	8.875688e-001
1.000050702660092e-005	-2.471811e-005	8.873521e-001
1.000050702848146e-005	-2.471811e-005	8.873487e-001
1.000050703036200e-005	-2.471811e-005	8.873454e-001
1.000050703224253e-005	-2.471811e-005	8.873420e-001
1.000050703412305e-005	-2.471811e-005	8.873386e-001
1.000050703435811e-005	-2.471811e-005	8.873382e-001
1.000050703459318e-005	-2.471811e-005	8.873377e-001
1.000050703482824e-005	-2.471811e-005	8.873373e-001
1.000050703529837e-005	-2.471811e-005	8.873365e-001
1.000050703553343e-005	-2.471811e-005	8.873360e-001
1.000050703576850e-005	-2.471811e-005	8.873356e-001
1.000050703579788e-005	-2.471811e-005	8.873355e-001
1.000050703582726e-005	-2.471811e-005	8.873355e-001
1.000050703583094e-005	-2.471811e-005	8.873355e-001
1.000050703583461e-005	-2.471811e-005	8.873355e-001
1.000050703583828e-005	-2.471811e-005	8.873355e-001
1.000050703584195e-005	-2.471811e-005	8.873355e-001
1.000050703584563e-005	-2.471811e-005	8.873355e-001
1.000050703584930e-005	-2.471811e-005	8.873355e-001
1.000050703585664e-005	-2.471811e-005	8.873355e-001
1.000050703586032e-005	-2.471811e-005	8.873355e-001
1.000050703586399e-005	-2.471811e-005	8.873354e-001
1.000050703586766e-005	-2.471811e-005	8.873354e-001
1.000050703587134e-005	-2.471811e-005	8.873354e-001
1.000050703587868e-005	-2.471811e-005	8.873354e-001
1.000050703588235e-005	-2.471811e-005	8.873354e-001
1.000050703588603e-005	-2.471811e-005	8.873354e-001
1.000050703588970e-005	-2.471811e-005	8.873354e-001
1.000050703589337e-005	-2.471811e-005	8.873354e-001
1.000050703590072e-005	-2.471811e-005	8.873354e-001
1.000050703590439e-005	-2.471811e-005	8.873354e-001
1.000050703590806e-005	-2.471811e-005	8.873354e-001
1.000050703591174e-005	-2.471811e-005	8.873354e-001
1.000050703591541e-005	-2.471811e-005	8.873354e-001
1.000050703591908e-005	-2.471811e-005	8.873354e-001
1.000050703592643e-005	-2.471811e-005	8.873354e-001
1.000050703593010e-005	-2.471811e-005	8.873353e-001
1.000050703593744e-005	-2.471811e-005	8.873353e-001
1.000050703594112e-005	-2.471811e-005	8.873353e-001
1.000050703594479e-005	-2.471811e-005	8.873353e-001
1.000050703594846e-005	-2.471811e-005	8.873353e-001
1.000050703594946e-005	-2.471811e-005	8.873353e-001
1.000050703595681e-005	-2.471811e-005	8.873353e-001
1.000050703596048e-005	-2.471811e-005	8.873353e-001
1.000050703596148e-005	-2.471811e-005	8.873352e-001
